scenario,system,phase,version,metric,value
big-binary,git,push,1,time_s,4.42
big-binary,git,push,1,remote_kb,102459
big-binary,git,push,1,remote_growth_kb,102459
big-binary,git,update,1,time_s,0.48
big-binary,git,update,1,dl_total_kb,102460
big-binary,git,push,2,time_s,3.97
big-binary,git,push,2,remote_kb,104778
big-binary,git,push,2,remote_growth_kb,2319
big-binary,git,update,2,time_s,3.21
big-binary,git,update,2,dl_total_kb,205917
big-binary,git,push,3,time_s,4.07
big-binary,git,push,3,remote_kb,107097
big-binary,git,push,3,remote_growth_kb,2319
big-binary,git,update,3,time_s,3.11
big-binary,git,update,3,dl_total_kb,310397
big-binary,git,push,4,time_s,3.57
big-binary,git,push,4,remote_kb,109417
big-binary,git,push,4,remote_growth_kb,2320
big-binary,git,update,4,time_s,3.49
big-binary,git,update,4,dl_total_kb,415902
big-binary,git,push,5,time_s,3.85
big-binary,git,push,5,remote_kb,111736
big-binary,git,push,5,remote_growth_kb,2319
big-binary,git,update,5,time_s,3.30
big-binary,git,update,5,dl_total_kb,522431
big-binary,git,clone_cold,5,time_s,0.40
big-binary,git,clone_cold,5,dl_total_kb,111737
big-binary,git,verify,5,sha256_ok,1
big-binary,git,storage,5,git_kb,111736
big-binary,git,logical,5,latest_version_kb,106496
big-binary,lfs,push,1,time_s,2.78
big-binary,lfs,push,1,remote_kb,102426
big-binary,lfs,push,1,remote_growth_kb,102426
big-binary,lfs,update,1,time_s,3.33
big-binary,lfs,update,1,dl_total_kb,102400
big-binary,lfs,push,2,time_s,3.14
big-binary,lfs,push,2,remote_kb,205850
big-binary,lfs,push,2,remote_growth_kb,103424
big-binary,lfs,update,2,time_s,3.63
big-binary,lfs,update,2,dl_total_kb,205824
big-binary,lfs,push,3,time_s,3.42
big-binary,lfs,push,3,remote_kb,310298
big-binary,lfs,push,3,remote_growth_kb,104448
big-binary,lfs,update,3,time_s,3.42
big-binary,lfs,update,3,dl_total_kb,310272
big-binary,lfs,push,4,time_s,2.45
big-binary,lfs,push,4,remote_kb,415771
big-binary,lfs,push,4,remote_growth_kb,105473
big-binary,lfs,update,4,time_s,3.14
big-binary,lfs,update,4,dl_total_kb,415744
big-binary,lfs,push,5,time_s,2.26
big-binary,lfs,push,5,remote_kb,522267
big-binary,lfs,push,5,remote_growth_kb,106496
big-binary,lfs,update,5,time_s,2.89
big-binary,lfs,update,5,dl_total_kb,522240
big-binary,lfs,clone_cold,5,time_s,3.07
big-binary,lfs,clone_cold,5,dl_total_kb,106496
big-binary,lfs,verify,5,sha256_ok,1
big-binary,lfs,storage,5,lfs_objects_kb,522240
big-binary,lfs,logical,5,latest_version_kb,106496
big-binary,cavs,push,1,time_s,3.81
big-binary,cavs,push,1,remote_kb,206517
big-binary,cavs,push,1,remote_growth_kb,206517
big-binary,cavs,update,1,time_s,4.80
big-binary,cavs,update,1,dl_total_kb,102400
big-binary,cavs,push,2,time_s,2.14
big-binary,cavs,push,2,remote_kb,215349
big-binary,cavs,push,2,remote_growth_kb,8832
big-binary,cavs,update,2,time_s,2.70
big-binary,cavs,update,2,dl_total_kb,106221
big-binary,cavs,push,3,time_s,2.06
big-binary,cavs,push,3,remote_kb,223728
big-binary,cavs,push,3,remote_growth_kb,8379
big-binary,cavs,update,3,time_s,2.61
big-binary,cavs,update,3,dl_total_kb,109807
big-binary,cavs,push,4,time_s,2.19
big-binary,cavs,push,4,remote_kb,232785
big-binary,cavs,push,4,remote_growth_kb,9057
big-binary,cavs,update,4,time_s,2.95
big-binary,cavs,update,4,dl_total_kb,113728
big-binary,cavs,push,5,time_s,2.13
big-binary,cavs,push,5,remote_kb,241140
big-binary,cavs,push,5,remote_growth_kb,8355
big-binary,cavs,update,5,time_s,2.77
big-binary,cavs,update,5,dl_total_kb,117290
big-binary,cavs,clone_cold,5,time_s,3.58
big-binary,cavs,clone_cold,5,dl_total_kb,106496
big-binary,cavs,verify,5,sha256_ok,1
big-binary,cavs,storage,5,store_kb,119268
big-binary,cavs,storage,5,export_kb,121845
big-binary,cavs,logical,5,latest_version_kb,106496
compressible,git,push,1,time_s,1.47
compressible,git,push,1,remote_kb,18886
compressible,git,push,1,remote_growth_kb,18886
compressible,git,update,1,time_s,0.38
compressible,git,update,1,dl_total_kb,18887
compressible,git,push,2,time_s,1.80
compressible,git,push,2,remote_kb,19304
compressible,git,push,2,remote_growth_kb,418
compressible,git,update,2,time_s,1.18
compressible,git,update,2,dl_total_kb,37884
compressible,git,push,3,time_s,1.84
compressible,git,push,3,remote_kb,19711
compressible,git,push,3,remote_growth_kb,407
compressible,git,update,3,time_s,1.35
compressible,git,update,3,dl_total_kb,56881
compressible,git,push,4,time_s,1.91
compressible,git,push,4,remote_kb,20128
compressible,git,push,4,remote_growth_kb,417
compressible,git,update,4,time_s,1.39
compressible,git,update,4,dl_total_kb,75879
compressible,git,clone_cold,4,time_s,0.35
compressible,git,clone_cold,4,dl_total_kb,20129
compressible,git,verify,4,sha256_ok,1
compressible,git,storage,4,git_kb,20128
compressible,git,logical,4,latest_version_kb,65536
compressible,lfs,push,1,time_s,2.68
compressible,lfs,push,1,remote_kb,65562
compressible,lfs,push,1,remote_growth_kb,65562
compressible,lfs,update,1,time_s,2.83
compressible,lfs,update,1,dl_total_kb,65536
compressible,lfs,push,2,time_s,2.58
compressible,lfs,push,2,remote_kb,131098
compressible,lfs,push,2,remote_growth_kb,65536
compressible,lfs,update,2,time_s,3.49
compressible,lfs,update,2,dl_total_kb,131072
compressible,lfs,push,3,time_s,2.75
compressible,lfs,push,3,remote_kb,196634
compressible,lfs,push,3,remote_growth_kb,65536
compressible,lfs,update,3,time_s,2.90
compressible,lfs,update,3,dl_total_kb,196608
compressible,lfs,push,4,time_s,2.23
compressible,lfs,push,4,remote_kb,262171
compressible,lfs,push,4,remote_growth_kb,65537
compressible,lfs,update,4,time_s,3.16
compressible,lfs,update,4,dl_total_kb,262144
compressible,lfs,clone_cold,4,time_s,2.77
compressible,lfs,clone_cold,4,dl_total_kb,65536
compressible,lfs,verify,4,sha256_ok,1
compressible,lfs,storage,4,lfs_objects_kb,262144
compressible,lfs,logical,4,latest_version_kb,65536
compressible,cavs,push,1,time_s,2.38
compressible,cavs,push,1,remote_kb,37617
compressible,cavs,push,1,remote_growth_kb,37617
compressible,cavs,update,1,time_s,3.95
compressible,cavs,update,1,dl_total_kb,65536
compressible,cavs,push,2,time_s,1.84
compressible,cavs,push,2,remote_kb,47325
compressible,cavs,push,2,remote_growth_kb,9708
compressible,cavs,update,2,time_s,2.84
compressible,cavs,update,2,dl_total_kb,81951
compressible,cavs,push,3,time_s,1.98
compressible,cavs,push,3,remote_kb,56558
compressible,cavs,push,3,remote_growth_kb,9233
compressible,cavs,update,3,time_s,2.53
compressible,cavs,update,3,dl_total_kb,97509
compressible,cavs,push,4,time_s,2.09
compressible,cavs,push,4,remote_kb,66129
compressible,cavs,push,4,remote_growth_kb,9571
compressible,cavs,update,4,time_s,2.55
compressible,cavs,update,4,dl_total_kb,113744
compressible,cavs,clone_cold,4,time_s,2.50
compressible,cavs,clone_cold,4,dl_total_kb,65536
compressible,cavs,verify,4,sha256_ok,1
compressible,cavs,storage,4,store_kb,32753
compressible,cavs,storage,4,export_kb,33349
compressible,cavs,logical,4,latest_version_kb,65536
many-files,git,push,1,time_s,2.43
many-files,git,push,1,remote_kb,88590
many-files,git,push,1,remote_growth_kb,88590
many-files,git,update,1,time_s,0.41
many-files,git,update,1,dl_total_kb,88610
many-files,git,push,2,time_s,0.90
many-files,git,push,2,remote_kb,91343
many-files,git,push,2,remote_growth_kb,2753
many-files,git,update,2,time_s,1.00
many-files,git,update,2,dl_total_kb,100275
many-files,git,push,3,time_s,0.74
many-files,git,push,3,remote_kb,93895
many-files,git,push,3,remote_growth_kb,2552
many-files,git,update,3,time_s,0.76
many-files,git,update,3,dl_total_kb,108344
many-files,git,push,4,time_s,0.85
many-files,git,push,4,remote_kb,96902
many-files,git,push,4,remote_growth_kb,3007
many-files,git,update,4,time_s,0.81
many-files,git,update,4,dl_total_kb,114417
many-files,git,clone_cold,4,time_s,1.33
many-files,git,clone_cold,4,dl_total_kb,96923
many-files,git,verify,4,sha256_ok,1
many-files,git,storage,4,git_kb,96902
many-files,git,logical,4,latest_version_kb,88527
many-files,lfs,push,1,time_s,4.21
many-files,lfs,push,1,remote_kb,88587
many-files,lfs,push,1,remote_growth_kb,88587
many-files,lfs,update,1,time_s,5.10
many-files,lfs,update,1,dl_total_kb,88516
many-files,lfs,push,2,time_s,4.44
many-files,lfs,push,2,remote_kb,100250
many-files,lfs,push,2,remote_growth_kb,11663
many-files,lfs,update,2,time_s,5.21
many-files,lfs,update,2,dl_total_kb,100170
many-files,lfs,push,3,time_s,5.89
many-files,lfs,push,3,remote_kb,108318
many-files,lfs,push,3,remote_growth_kb,8068
many-files,lfs,update,3,time_s,4.30
many-files,lfs,update,3,dl_total_kb,108230
many-files,lfs,push,4,time_s,4.27
many-files,lfs,push,4,remote_kb,114392
many-files,lfs,push,4,remote_growth_kb,6074
many-files,lfs,update,4,time_s,5.17
many-files,lfs,update,4,dl_total_kb,114294
many-files,lfs,clone_cold,4,time_s,4.78
many-files,lfs,clone_cold,4,dl_total_kb,88527
many-files,lfs,verify,4,sha256_ok,1
many-files,lfs,storage,4,lfs_objects_kb,114294
many-files,lfs,logical,4,latest_version_kb,88527
many-files,cavs,push,1,time_s,21.02
many-files,cavs,push,1,remote_kb,179642
many-files,cavs,push,1,remote_growth_kb,179642
many-files,cavs,update,1,time_s,6.37
many-files,cavs,update,1,dl_total_kb,88516
many-files,cavs,push,2,time_s,6.39
many-files,cavs,push,2,remote_kb,192413
many-files,cavs,push,2,remote_growth_kb,12771
many-files,cavs,update,2,time_s,4.70
many-files,cavs,update,2,dl_total_kb,94767
many-files,cavs,push,3,time_s,7.65
many-files,cavs,push,3,remote_kb,203014
many-files,cavs,push,3,remote_growth_kb,10601
